,Unnamed: 0,product_ndc,API,searched_API,Dosage_strength,Dosage_form,strength_num,Strength_unit,per_unit,strength_in_mg,unit_in_mg,strength_in_mg_per_1unit,is_tablet
1528,1927,30142-865,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1531,1931,50268-052,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
1532,1933,63187-406,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1533,1934,68071-4118,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1534,1935,68071-5025,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
1536,1938,71687-3006,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1537,1939,73097-013,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1541,1943,62579-401,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1544,1949,29485-8028,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1545,1950,36800-591,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1546,1951,42961-041,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1547,1954,61919-023,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
1548,1955,65862-922,TRAMADOL HYDROCHLORIDE,acetaminophen,37.5 mg/1,"TABLET, FILM COATED",37.5,mg,1,37.5,1.0,37.5,True
1549,1956,63868-503,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1550,1957,68071-4475,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
1551,1958,70000-0284,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1552,1959,71687-3102,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1553,1960,73097-014,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1554,1961,80267-484,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1558,1965,0904-6760,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1560,1968,27808-035,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1561,1969,36800-187,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1562,1970,36800-973,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1563,1971,42961-042,ACETAMINOPHEN,acetaminophen,110 mg/1,TABLET,110.0,mg,1,110.0,1.0,110.0,True
1564,1974,61919-328,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
1565,1975,66715-9737,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1566,1976,67751-211,IBUPROFEN,acetaminophen,125 mg/1,"TABLET, FILM COATED",125.0,mg,1,125.0,1.0,125.0,True
1567,1977,0406-0523,OXYCODONE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1570,1980,62579-402,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1572,1983,27808-036,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1573,1984,30142-403,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1575,1986,37808-556,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1576,1989,60760-935,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1577,1990,60951-602,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1578,1991,63868-507,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1580,1993,0280-8015,CAFFEINE,acetaminophen,60 mg/1,"TABLET, COATED",60.0,mg,1,60.0,1.0,60.0,True
1581,1994,66715-9738,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1582,1996,70000-0289,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1583,1997,71335-1339,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1584,1998,0498-7001,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1585,1999,0603-3887,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1587,2001,27808-037,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1588,2003,60951-700,OXYCODONE HYDROCHLORIDE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1589,2004,63654-601,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1590,2005,66267-858,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1591,2006,69293-565,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1592,2008,70518-2798,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1593,2009,71335-1340,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
1598,2019,60951-701,OXYCODONE HYDROCHLORIDE,acetaminophen,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
1603,2026,41250-334,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1604,2028,42961-046,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1605,2031,62207-680,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1606,2032,60951-712,OXYCODONE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1607,2034,63187-671,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1608,2035,68016-761,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1609,2036,0536-1292,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1612,2039,62579-679,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1613,2041,46122-443,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1614,2042,50268-644,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1615,2043,51645-291,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1617,2045,66715-9744,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1618,2046,68016-762,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1620,2049,71335-1909,OXYCODONE HYDROCHLORIDE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1622,2051,62579-680,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1625,2054,36800-979,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1626,2055,42961-047,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1627,2057,50090-0919,TRAMADOL HYDROCHLORIDE,acetaminophen,37.5 mg/1,TABLET,37.5,mg,1,37.5,1.0,37.5,True
1629,2059,50268-645,OXYCODONE HYDROCHLORIDE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1630,2060,51645-703,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1631,2062,63868-003,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1632,2063,66715-9745,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1633,2064,0904-5791,ACETAMINOPHEN,acetaminophen,80 mg/1,"TABLET, CHEWABLE",80.0,mg,1,80.0,1.0,80.0,True
1637,2069,49035-363,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1638,2070,49348-730,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1639,2071,50268-646,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1640,2072,51645-705,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1641,2073,52124-0010,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1642,2074,56062-437,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1644,2076,59779-571,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1645,2077,61919-857,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1646,2078,67091-209,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1653,2086,0113-0548,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1654,2087,37808-586,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1656,2092,63940-934,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1657,2093,66715-9747,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1658,2094,67091-210,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1659,2095,67296-1618,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1660,2096,70000-0568,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1661,2097,69842-723,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1662,2098,41163-045,ACETAMINOPHEN,acetaminophen,160 mg/1,"TABLET, CHEWABLE",160.0,mg,1,160.0,1.0,160.0,True
1663,2099,42961-051,PHENYLEPHRINE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1664,2100,51645-706,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1665,2101,56062-460,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1666,2104,67091-212,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1667,2106,68210-4164,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1668,2107,69842-413,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1669,2108,70518-2805,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1670,2109,72030-001,ACETAMINOPHEN,acetaminophen,60 mg/1,"TABLET, COATED",60.0,mg,1,60.0,1.0,60.0,True
1671,2110,0615-8102,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
1673,2113,42961-052,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1674,2114,47781-625,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
1675,2116,55700-823,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1677,2118,61919-860,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
1678,2119,63187-106,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
1679,2120,63940-975,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1680,2121,66715-9749,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1681,2122,67091-213,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1682,2125,72030-002,ACETAMINOPHEN,acetaminophen,60 mg/1,TABLET,60.0,mg,1,60.0,1.0,60.0,True
1686,2129,11822-0374,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1688,2133,61919-861,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1689,2135,68210-4166,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1690,2136,70000-0306,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
1691,2137,71610-238,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1693,2139,0067-2056,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, COATED",250.0,mg,1,250.0,1.0,250.0,True
1694,2140,76420-133,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1695,2142,46122-453,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1696,2143,47781-628,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1697,2144,50804-805,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1698,2145,61919-612,OXYCODONE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1700,2147,0280-8030,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1701,2148,66715-9756,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1704,2152,70518-1101,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1706,2155,0603-3890,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1707,2157,55758-326,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1709,2159,60760-335,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1711,2163,66715-9757,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1712,2164,67296-1623,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1714,2166,76420-136,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1715,2167,27808-114,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1717,2169,55315-047,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1718,2171,63629-1177,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1720,2173,67296-1624,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1722,2176,70000-0309,ACETAMINOPHEN,acetaminophen,160 mg/1,"TABLET, CHEWABLE",160.0,mg,1,160.0,1.0,160.0,True
1724,2179,11673-428,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1725,2180,11822-0390,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1726,2181,24385-365,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1727,2183,27808-115,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1728,2184,37808-598,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1729,2185,42961-111,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1731,2187,46122-456,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1732,2188,47682-228,ASPIRIN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1733,2189,56062-484,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1734,2190,54473-304,DIPHENHYDRAMINE HYDROCHLORIDE,acetaminophen,25 mg/1,TABLET,25.0,mg,1,25.0,1.0,25.0,True
1735,2192,63187-933,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
1736,2193,70000-0310,ACETAMINOPHEN,acetaminophen,160 mg/1,"TABLET, CHEWABLE",160.0,mg,1,160.0,1.0,160.0,True
1737,2194,71335-0193,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1738,2195,0536-1164,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1740,2198,27808-116,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1741,2200,36800-991,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1743,2202,54473-305,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1744,2203,55315-060,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1745,2204,55319-247,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1746,2205,63629-1179,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1747,2206,0363-7213,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1748,2207,70000-0312,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1750,2209,77800-100,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1752,2211,41520-773,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1753,2212,42961-112,GUAIFENESIN,acetaminophen,200 mg/1,TABLET,200.0,mg,1,200.0,1.0,200.0,True
1754,2213,49035-708,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1755,2215,55910-812,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1756,2217,63187-112,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1757,2218,63629-1180,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1758,2220,68071-4503,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1760,2223,0363-6770,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1762,2226,0591-3369,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
1765,2229,11673-433,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, COATED",250.0,mg,1,250.0,1.0,250.0,True
1766,2230,11673-961,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1770,2238,41520-774,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1771,2239,50804-825,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1773,2242,61919-618,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1774,2243,61919-871,OXYCODONE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1775,2244,63868-030,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1776,2245,63868-567,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1777,2246,67296-1631,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1778,2248,70000-0314,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
1779,2249,0498-1041,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1783,2254,46122-460,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1784,2256,50804-826,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
1785,2258,55910-345,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1786,2260,63629-1181,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
1787,2261,63868-032,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1788,2264,68210-6113,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1789,2265,72854-233,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1792,2268,11673-437,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
1793,2269,11673-966,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
1796,2273,30142-449,ACETAMINOPHEN,acetaminophen,160 mg/1,"TABLET, CHEWABLE",160.0,mg,1,160.0,1.0,160.0,True
1797,2275,42961-202,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
1798,2276,47682-238,CAFFEINE,acetaminophen,65 mg/1,"TABLET, FILM COATED",65.0,mg,1,65.0,1.0,65.0,True
1799,2277,47781-644,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
1800,2279,50580-309,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
1801,2280,50804-828,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
1802,2281,55289-880,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1803,2282,61919-618,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
1804,2283,61919-871,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
1805,2284,63629-1183,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
1806,2285,66576-200,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
1807,2286,0363-0159,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
1808,2287,72854-234,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
